code,area,population,population growth,population density,median age,children under 15,people over 64,fertility rate,Indigenous,born in Oceania,born in north-west Europe,born in southern & eastern Europe,born in north Africa & Middle East,born in south-east Asia,born in north-east Asia,born in southern & central Asia,born in Americas,born in sub-Saharan Africa,born overseas,religious,speaks English at home,median house price,median income,low income (bottom quartile),high income (top quartile),postgraduates,uni grads),jobs: managers,jobs: professionals,jobs: technicians & trades,jobs: community work,jobs: clerical,jobs: sales,jobs: machinery & drivers,jobs: labourers,home owners (outright),home owners (mortage),renters,detached houses,disadvantaged (bottom quartiler),advantaged (top quartiler),articial surfaces,lng,lat
801011011,Giralang,3330.0,0.9946236559139784,1361.0,38.5,384.0,265.0,1.99,2.0,2.1,5.1,3.6,0.8,2.4,3.7,1.8,1.5,1.1,22.3,70.7,100.0,701250.0,62091.0,17.7,31.6,8.7,33.6,14.7,28.7,10.2,12.3,16.9,4.0,0.8,8.6,36.5,40.2,21.0,1132.0,11.5,34.0,0.0122950819672131,149.09599444367524,-35.21088896312471
801011012,Gooromon,7.0,1.1666666666666667,0.7,43.5,0.0,2.0,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,0.0,,,,149.06085909266415,-35.186711982648305
801011013,Hawker,2982.0,1.0098205215035556,1524.3,41.7,261.0,311.0,1.56,0.9,1.9,6.5,2.4,0.6,3.0,2.5,5.4,1.3,1.6,25.1,71.4,95.7,910000.0,62072.0,19.3,34.3,12.4,44.9,14.6,30.5,8.9,10.7,12.0,5.0,2.9,8.6,40.2,32.2,25.2,895.0,12.3,36.3,0.0159574468085106,149.0365686139206,-35.247034665970304
801011014,Higgins,3109.0,1.0006437077566783,1856.9,38.7,316.0,254.0,1.7,1.4,1.5,7.1,2.2,0.6,3.6,2.8,2.1,1.6,0.7,22.3,71.5,100.0,598000.0,60568.0,18.0,29.2,7.3,27.9,11.2,25.4,14.5,15.0,13.0,5.0,4.1,9.7,29.8,46.1,21.9,1074.0,16.5,30.3,0.0184049079754601,149.0272081160619,-35.232402647194526
801011015,Holt,4863.0,1.0469321851453175,1475.6,37.7,551.0,358.0,2.19,3.2,1.8,6.5,1.8,1.0,2.4,1.6,3.0,1.8,1.0,20.9,74.3,96.0,590000.0,59700.0,18.7,27.7,6.2,25.4,11.5,25.3,11.5,17.2,15.7,5.1,6.2,6.8,30.0,37.2,29.0,1770.0,21.4,21.7,0.0092307692307692,149.0118838911391,-35.22440090123718
801011016,Kaleen,7459.0,1.0081092039464792,1237.6,38.5,707.0,676.0,1.83,1.1,1.8,5.0,4.6,0.9,4.0,5.1,3.9,1.6,1.0,27.8,69.3,102.5,745000.0,58111.0,20.8,30.7,9.5,34.8,11.7,31.4,9.7,13.7,12.8,6.2,1.9,11.0,40.4,34.2,22.7,2475.0,13.2,34.4,0.0047543581616481,149.10918116936992,-35.22779875081625
801011017,Latham,3684.0,1.0137589433131535,1348.9,37.5,478.0,245.0,1.95,1.9,1.7,5.1,1.9,0.6,2.9,2.2,1.5,1.6,1.2,18.7,69.3,95.7,606500.0,60166.0,18.2,28.5,6.1,26.5,13.0,26.9,8.8,15.6,14.4,7.1,2.5,9.1,31.3,45.7,20.6,1286.0,14.9,31.1,0.0238095238095238,149.03144829991132,-35.21650756483687
801011018,Lawson,2012.0,,652.3,30.1,204.0,39.0,1.46,,2.0,2.7,,,3.4,19.6,18.2,2.0,2.0,53.4,59.5,,909500.0,65253.0,19.9,30.3,21.2,45.2,10.3,48.7,15.4,23.1,6.7,,,,7.9,60.5,31.6,36.0,9.2,33.8,,149.08821888707195,-35.22502817360575
801011019,Macgregor,7343.0,1.0958065960304433,1717.7,33.6,972.0,335.0,1.82,2.1,1.9,4.6,1.9,1.0,3.8,2.4,6.3,1.4,1.5,24.8,74.8,96.6,550000.0,66406.0,15.3,31.1,7.9,30.0,9.5,29.9,9.3,13.2,15.3,8.4,3.1,9.4,18.1,58.8,21.3,2388.0,9.0,39.0,0.0070588235294117,149.01101600811774,-35.20978915357394
801011020,Macquarie,2824.0,1.0250453720508168,1660.8,39.4,234.0,236.0,1.31,2.3,2.1,6.4,2.6,1.0,4.1,5.3,5.0,2.0,1.2,29.7,65.4,100.0,738500.0,58363.0,21.6,31.5,12.2,42.1,11.3,36.4,9.6,13.5,10.6,6.6,3.2,5.9,30.4,25.2,42.4,878.0,19.7,30.0,0.0414201183431952,149.0632506235711,-35.251172936170754
801011021,McKellar,2843.0,1.0088715400993613,2010.6,42.0,263.0,262.0,1.81,2.0,2.1,4.4,6.2,0.8,4.8,4.1,2.5,1.8,1.0,27.6,71.7,100.0,765000.0,61829.0,20.3,33.1,8.4,34.2,16.0,31.5,9.4,7.5,16.5,4.8,1.9,12.1,39.9,37.2,21.3,922.0,12.9,38.2,0.0208333333333333,149.07704071090384,-35.21751162905314
801011022,Melba,3246.0,1.0201131363922062,1406.8,39.1,389.0,278.0,2.27,1.7,2.2,6.0,2.7,0.9,2.3,2.0,2.0,1.6,0.8,20.4,69.5,110.6,635750.0,61313.0,19.7,31.4,7.8,33.0,13.6,30.1,10.3,10.3,15.6,3.6,1.0,9.9,34.5,41.1,22.1,1098.0,14.7,32.9,0.0129870129870129,149.05405593381545,-35.21014385225659
801011023,Page,3120.0,1.0263157894736843,2359.2,37.6,265.0,242.0,1.55,1.4,1.5,7.0,3.6,1.3,4.6,3.7,5.2,1.2,1.7,29.7,76.4,97.7,623000.0,54782.0,23.5,26.0,8.4,32.0,5.6,33.1,10.8,16.7,10.8,7.2,3.1,10.8,30.7,25.1,36.0,1101.0,21.2,24.3,0.0265486725663716,149.04988084888498,-35.23862363765876
801011024,Scullin,3020.0,1.0261637784573563,2117.8,35.8,335.0,192.0,1.99,1.7,1.5,5.7,1.8,1.3,2.8,3.7,5.0,1.7,1.9,25.1,71.5,100.0,598000.0,57988.0,19.6,28.5,9.5,33.8,9.3,28.1,12.9,16.3,12.1,5.6,3.1,9.8,28.0,34.9,34.3,1039.0,17.6,29.3,,149.03900655522165,-35.23460969706593
801011025,Spence,2635.0,1.0173745173745177,1730.8,38.2,299.0,191.0,1.84,2.4,1.9,5.9,2.5,0.8,2.4,0.9,0.9,1.5,0.7,16.8,72.9,94.8,687500.0,63501.0,18.0,30.2,6.7,28.200000000000003,10.2,33.3,7.1,12.9,12.9,4.4,3.6,8.4,33.8,42.2,22.2,884.0,13.6,31.9,0.02,149.0643837609741,-35.19871733221611
801011026,Weetangera,2650.0,1.0003775009437523,1673.8,43.7,248.0,260.0,1.99,0.3,1.9,6.1,3.2,0.8,1.3,3.3,2.6,1.9,1.2,22.4,63.7,100.0,934500.0,68923.0,18.6,39.5,15.2,49.400000000000006,15.2,40.0,5.9,9.3,12.8,3.4,4.1,8.6,48.6,34.5,14.7,828.0,5.5,47.5,0.0171428571428571,149.0497329631878,-35.250138789828476
801011111,Molonglo Corridor,12.0,1.0,0.5,57.0,0.0,4.0,,,,,,,,,,,,,75.0,,,171110.0,,,,,,,,,,,,,,100.0,100.0,4.0,,,,149.02048876938792,-35.25607618837838
801031031,Hume,434.0,1.0585365853658537,50.6,36.4,0.0,18.0,,22.6,2.8,0.9,2.3,3.3,2.8,1.2,2.8,0.7,0.7,16.7,99.0,0.0,,49896.0,34.6,19.2,,,,,,,,,,,,,,0.0,,,,149.16582131292677,-35.38547168089283
801031032,Kowen,38.0,1.0,0.5,33.7,3.0,2.0,,7.9,,,,,,,,,,,63.2,133.3,,85258.0,,,,,11.1,11.1,29.6,,11.1,,,,33.3,45.5,66.7,7.0,,27.3,,149.3136191435221,-35.31084067785541
801031113,Canberra East,825.0,1.014760147601476,26.6,52.3,19.0,115.0,,2.3,3.3,5.8,1.5,0.4,3.3,0.5,1.9,0.5,1.0,19.2,80.7,100.0,,49149.0,26.6,19.2,3.2,10.7,17.1,7.1,8.6,14.3,5.7,4.3,8.6,24.3,47.2,8.6,39.0,220.0,39.3,4.7,0.0009715025906735,149.16074307859185,-35.35988318153351
801031114,Canberra Airport,99.0,1.0879120879120878,17.9,36.1,16.0,6.0,,3.9,4.9,2.9,2.9,,2.9,2.9,,,,19.4,80.0,0.0,,74961.0,13.2,32.4,3.7,,18.8,25.0,11.7,25.0,16.7,5.0,,18.8,,,100.0,44.0,6.0,18.0,,149.19625411476343,-35.30402632511875
801031115,Majura,207.0,1.2105263157894737,2.3,37.3,17.0,22.0,,,1.8,8.2,1.8,2.9,2.9,,,1.8,1.7,15.8,66.7,0.0,,69472.0,21.3,40.4,4.0,25.4,42.1,31.6,21.1,50.0,50.0,50.0,3.4,15.8,26.9,25.0,40.4,53.0,7.0,16.9,,149.21036783002683,-35.272916751001006
801041034,Amaroo,5899.0,1.037278002461755,2280.1,34.9,718.0,224.0,1.96,1.5,2.0,4.3,2.8,0.8,3.0,2.5,4.5,1.6,1.6,22.8,77.2,96.7,733000.0,68625.0,18.2,37.8,8.5,31.9,14.2,33.1,8.5,9.6,15.8,5.9,3.7,5.9,20.6,52.4,24.6,1798.0,7.3,47.4,,149.12802706308275,-35.16957516485267
801041035,Bonner,7341.0,1.1796561144142697,2663.7,31.6,1195.0,107.0,1.99,1.1,1.9,2.9,1.8,1.9,5.2,3.5,16.0,1.5,3.6,38.1,84.9,88.2,660000.0,66750.0,16.2,34.0,13.4,39.400000000000006,10.9,34.2,10.5,11.6,13.6,7.8,2.6,6.4,6.7,62.3,28.7,1971.0,4.9,51.5,0.0111524163568773,149.14297689944914,-35.155964077013635
801041036,Casey,6819.0,1.261609620721554,2600.2,33.2,918.0,172.0,1.72,1.6,1.5,3.4,1.9,0.9,3.7,4.4,7.9,1.6,2.7,28.0,75.6,89.8,681500.0,72609.0,13.7,37.7,9.2,33.7,10.8,31.1,10.7,14.6,15.7,5.2,2.3,7.1,8.1,64.3,26.0,1927.0,4.8,45.9,0.01171875,149.094710692208,-35.16699985690988
801041037,Crace,5320.0,1.342756183745583,3220.7,33.6,674.0,159.0,1.73,1.0,1.4,3.5,1.9,1.1,3.8,11.2,11.7,1.5,2.1,38.0,66.4,100.0,780500.0,74155.0,15.4,40.4,17.8,48.3,13.6,40.1,7.9,9.3,14.4,5.2,1.8,4.7,9.7,55.4,30.8,1364.0,3.2,52.4,,149.1074233853928,-35.20282145220843
801041038,Forde,4642.0,1.1357964276975776,2421.4,34.8,678.0,137.0,1.64,1.0,1.4,5.0,2.1,1.3,3.8,5.9,7.4,1.6,2.4,30.7,75.3,88.6,800000.0,81098.0,14.6,47.0,13.9,43.2,17.2,37.9,8.5,10.0,14.6,6.2,1.6,3.1,12.8,62.6,23.0,1295.0,3.8,59.7,0.045,149.14607878626708,-35.16816855789825
801041039,Franklin,7480.0,1.237386269644334,3257.0,31.8,912.0,146.0,1.49,1.2,1.5,2.3,1.6,1.8,6.8,15.5,13.4,2.0,1.8,46.9,65.1,96.1,775000.0,61626.0,19.9,31.1,15.6,46.6,13.4,35.1,11.1,11.2,12.0,6.5,3.0,6.0,8.8,46.7,41.9,1537.0,6.3,43.1,0.04,149.14329880151925,-35.19944798442138
801041040,Gungahlin,6972.0,1.1288860103626943,1527.5,32.3,578.0,212.0,1.65,1.3,1.8,2.8,1.9,2.0,6.2,13.6,8.5,1.5,2.8,41.4,65.5,90.5,716500.0,54380.0,23.4,26.5,11.4,36.5,12.0,28.6,12.8,11.1,13.8,7.7,1.9,9.4,12.4,31.2,54.2,1630.0,9.3,33.6,0.0168421052631578,149.1361985065766,-35.18673080880664
801041043,Hall,291.0,0.976510067114094,101.8,40.8,25.0,32.0,,2.6,2.6,10.3,1.1,,,,0.9,1.1,,14.8,60.0,100.0,,64135.0,20.6,41.3,6.9,26.3,21.1,21.1,21.1,8.6,36.8,15.8,4.6,8.6,48.9,31.5,19.6,99.0,12.9,28.4,,149.06281872575843,-35.16917027484217
801041044,Harrison,8866.0,1.2191969196919692,3039.6,31.3,1078.0,170.0,1.2,0.8,1.8,3.1,1.6,1.4,5.1,12.2,11.6,1.8,1.7,40.3,67.0,90.2,759000.0,65766.0,18.4,34.9,15.7,44.8,11.8,35.3,9.6,13.9,12.1,6.5,2.5,6.1,9.0,46.0,43.0,1863.0,4.7,45.3,0.0218181818181818,149.15610039343727,-35.19907740469506
801041045,Mitchell,4.0,0.8,0.5,51.5,0.0,1.0,,,,,,,,,,,,,33.3,,,63640.0,11.4,38.6,,,,,,,,,,,,,100.0,0.0,,,,149.12934735262448,-35.21445744227717
801041046,Ngunnawal,11211.0,1.1017099056603774,2695.5,33.5,1331.0,504.0,1.98,1.8,1.9,3.8,2.0,1.1,4.0,3.2,5.9,1.6,1.7,25.1,75.6,95.2,572150.0,63641.0,17.0,30.6,7.6,29.6,12.0,26.4,11.7,14.6,14.7,7.3,2.9,8.3,18.6,50.8,28.6,3747.0,12.0,35.4,0.025,149.11147152041153,-35.1727901632362
801041047,Nicholls,6908.0,0.9945292254534984,1030.8,43.2,608.0,528.0,1.5,1.3,2.0,6.3,3.2,0.9,3.5,4.5,3.8,1.4,1.8,27.4,71.5,93.0,866250.0,68383.0,19.0,39.0,10.0,34.3,17.7,34.2,8.0,7.2,17.0,5.7,2.3,5.7,39.0,43.1,16.6,2156.0,6.5,48.4,0.0165912518853695,149.09648669662542,-35.18732042200296
801041048,Palmerston,5510.0,0.972467349099894,2828.4,36.5,614.0,282.0,1.77,1.4,1.2,4.1,2.7,0.9,6.3,5.8,5.6,1.8,1.6,29.8,72.0,90.4,733000.0,62621.0,19.5,31.8,9.8,33.400000000000006,12.3,27.7,11.1,11.7,14.3,7.2,2.2,10.4,27.5,39.4,30.3,1946.0,12.9,37.7,0.0159574468085106,149.11940926206688,-35.194456203607196
801041116,Gungahlin - East,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,149.17395412915553,-35.18197296038304
801041117,Gungahlin - West,,,,,0.0,0.0,,,,,,,,,,,,,,,,57669.0,13.6,25.4,,,,,,,,,,,,,,0.0,,,,149.10679225862617,-35.148361530704335
801041118,Jacka,760.0,1.853658536585366,260.5,29.6,126.0,6.0,,2.1,1.0,2.1,1.8,1.0,2.5,4.3,21.6,1.9,2.2,39.1,84.7,100.0,600000.0,65692.0,16.9,27.0,14.2,40.400000000000006,10.8,26.9,9.0,15.0,15.6,10.8,2.4,5.4,2.7,73.7,23.7,225.0,10.6,49.0,,149.13043510271368,-35.14951245808143
801041119,Kenny,9.0,0.8181818181818182,1.5,39.5,2.0,4.0,,17.1,,,,,,,,,,,0.0,100.0,,30815.0,,,,,,,,,,,,,40.0,,100.0,3.0,,,,149.16164541109288,-35.21691044866239
801041120,Moncrieff,4388.0,67.50769230769231,2288.8,30.2,660.0,74.0,2.62,,,2.9,,,,,19.0,,6.7,38.1,92.5,0.0,737500.0,66853.0,15.6,31.5,13.0,,12.0,32.0,10.2,36.0,12.0,6.1,12.0,,,78.9,21.1,20.0,,21.8,,149.11628910961593,-35.158819751909675
801041121,Taylor,936.0,,308.0,28.3,140.0,12.0,,,,,,,,,,,,,,,770000.0,64497.0,19.7,28.8,,,,,,,,,,,,,,0.0,,,,149.10791362879903,-35.14809472651112
801041122,Throsby,1328.0,,897.6,29.8,192.0,15.0,2.49,,,,,,,,,,,,,,745000.0,64018.0,19.5,37.4,,,,,,,,,,,,,,0.0,,,,149.16178883242264,-35.18897118222237
801051049,Acton,2196.0,1.0457142857142858,802.2,22.8,37.0,19.0,,0.6,2.4,4.8,0.6,1.6,10.3,18.5,7.2,3.2,2.0,50.7,50.9,100.0,,10433.0,77.8,4.0,10.7,30.7,2.0,35.9,2.4,24.3,9.6,12.7,1.2,12.7,,,100.0,3.0,,,0.0148698884758364,149.11505674212054,-35.28133915503926
801051050,Ainslie,5216.0,0.9925784966698382,1473.2,42.7,477.0,442.0,1.4,1.5,2.1,7.2,2.6,0.7,2.8,2.1,1.5,2.2,0.8,21.9,56.6,88.6,1060944.0,70135.0,20.2,40.4,15.4,47.4,15.4,44.9,6.4,8.6,10.7,4.3,1.1,5.1,28.8,28.6,36.1,1742.0,21.5,38.1,0.0140449438202247,149.1478514842155,-35.2622339797606
801051051,Braddon,6477.0,1.1638814016172507,4600.8,30.5,214.0,217.0,0.63,1.6,1.5,5.4,2.1,1.1,5.6,9.4,4.2,2.5,0.9,32.7,53.1,100.0,1350000.0,76078.0,16.4,40.5,15.0,50.3,13.5,39.4,7.5,12.1,10.0,5.3,0.5,9.6,9.8,19.4,67.6,501.0,13.2,24.1,0.108695652173913,149.13568263585958,-35.27080137641737
801051053,Civic,4885.0,1.209457786580837,3413.9,26.3,146.0,159.0,0.53,0.8,1.8,4.4,1.5,1.3,7.3,26.8,3.7,2.7,0.5,49.7,40.0,100.0,,55143.0,32.2,33.2,12.6,40.4,10.3,43.8,5.4,11.6,11.8,10.3,0.5,5.0,11.3,18.7,67.7,5.0,6.5,22.0,0.0416666666666666,149.12916957593515,-35.28126033605193
801051054,Dickson,2779.0,1.2378619153674832,1761.2,32.2,188.0,107.0,1.26,1.1,1.5,6.2,2.9,1.7,4.3,6.1,4.1,1.9,0.4,28.9,56.5,100.0,888000.0,63613.0,22.3,33.3,16.4,49.6,10.7,37.2,9.5,12.6,11.0,5.0,0.9,12.0,23.1,23.0,51.0,634.0,14.2,26.0,0.02,149.14174760290996,-35.25279255869174
801051055,Downer,4016.0,1.1023881416415042,2457.5,35.2,366.0,221.0,1.35,1.6,2.0,6.3,2.8,0.7,5.0,4.6,4.6,2.2,0.8,29.0,60.5,86.4,805000.0,61938.0,20.2,33.3,13.9,42.9,11.3,29.2,9.3,10.2,10.4,2.6,1.8,22.0,27.4,29.7,38.9,1205.0,19.3,32.2,0.0228571428571428,149.14354606525688,-35.243938839149436
801051056,Hackett,3206.0,1.0754780275075475,1644.3,40.5,367.0,209.0,1.78,1.8,2.3,6.2,2.7,0.7,2.4,1.6,2.0,1.9,1.1,21.1,58.9,91.1,900000.0,71236.0,19.4,41.5,17.8,52.6,15.3,41.9,8.8,9.1,10.0,6.3,1.0,6.9,39.0,32.0,26.1,1036.0,13.6,41.1,,149.1635299096252,-35.24946530691896
801051057,Lyneham,5640.0,1.0940834141610087,1029.6,35.6,381.0,324.0,1.01,0.9,1.9,6.7,3.9,1.1,4.8,4.8,5.5,2.2,0.8,31.7,65.2,100.0,881000.0,64959.0,18.1,33.5,15.7,48.9,13.3,38.1,7.8,10.7,9.9,4.2,1.5,12.2,21.1,20.6,53.7,1441.0,15.3,27.2,0.0054545454545454,149.1307482555911,-35.23978218677249
801051058,O'Connor,5970.0,1.0620885963351716,1211.3,35.3,475.0,417.0,1.21,1.0,1.9,7.2,2.0,0.8,3.0,2.8,3.0,2.6,0.8,24.3,51.8,94.3,1062500.0,69397.0,20.8,39.9,18.8,53.9,14.5,43.9,5.8,8.7,9.2,4.3,1.1,11.1,27.6,28.2,41.3,1673.0,14.0,36.3,0.0145530145530145,149.11248834912757,-35.25643235095472
801051060,Turner,4706.0,1.157118268994345,3060.4,32.4,206.0,212.0,0.73,0.7,2.1,5.2,2.4,1.6,6.2,8.5,5.4,2.4,1.1,34.5,56.4,106.1,1600000.0,73692.0,20.1,40.5,21.2,55.4,13.0,41.1,5.2,9.7,10.9,6.6,1.0,12.5,15.6,18.5,63.0,438.0,13.7,25.0,0.0236686390532544,149.12466771920566,-35.26881613017723
801051061,Watson,6260.0,1.063179347826087,1703.7,36.0,656.0,285.0,1.49,1.1,2.4,6.3,2.6,0.7,3.6,2.6,4.7,2.2,1.5,26.5,63.5,95.3,771990.0,69096.0,18.2,36.9,16.0,48.7,12.5,38.2,8.2,9.9,11.8,5.5,1.7,10.4,23.1,34.1,40.4,1718.0,12.9,38.2,0.0087209302325581,149.15944657462106,-35.23472833451855
801051123,Black Mountain,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,149.09616171942127,-35.27463567705864
801051124,Campbell,4056.0,1.2294634737799333,1283.8,39.6,272.0,328.0,1.18,0.5,2.0,6.7,2.3,0.8,2.7,3.4,1.7,2.2,0.7,22.7,56.0,82.4,1175000.0,78780.0,15.3,45.5,20.6,54.1,22.6,41.9,2.8,10.1,10.6,3.4,0.8,4.7,39.6,27.8,30.0,994.0,7.9,40.1,0.02,149.15281906855276,-35.28616469238544
801051125,Duntroon,1960.0,1.0919220055710306,812.7,23.3,96.0,15.0,,1.4,3.0,4.0,0.3,0.2,2.6,1.0,1.4,0.8,1.5,14.6,53.8,104.3,,54135.0,15.1,16.1,2.7,19.6,67.8,12.8,1.9,13.3,1.9,1.4,0.4,0.4,,,97.8,158.0,2.2,31.9,,149.1652124377735,-35.298073617816
801051126,Parkes - North,4.0,1.0,3.6,43.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,149.13982411544688,-35.29327918530664
801051127,Reid,1721.0,1.0064327485380118,1837.3,38.8,92.0,137.0,1.04,1.6,1.9,6.6,1.8,1.3,5.7,5.6,2.6,2.6,1.4,28.6,59.6,81.0,1490000.0,66673.0,19.4,36.9,15.5,46.6,11.1,38.5,7.5,11.9,9.5,3.2,2.0,11.9,23.2,15.3,58.1,363.0,24.0,20.0,0.037037037037037,149.14107950500568,-35.28243961699055
801051128,Russell,3.0,,6.1,50.5,0.0,0.0,,,,,,,,,,,,,,,,100007.0,,,,,,,,,,,,,,,,0.0,,,,149.15022221021604,-35.29796978100876
801061062,Deakin,2987.0,1.0289355838787462,836.4,46.2,252.0,317.0,1.79,1.1,1.9,7.7,2.5,1.0,2.8,3.1,3.0,2.5,1.1,25.8,62.6,93.5,1350000.0,80679.0,19.1,48.0,17.5,54.6,21.8,45.4,3.6,7.7,13.6,5.1,1.0,2.3,43.7,27.0,23.8,909.0,9.9,40.3,0.0082644628099173,149.1030904504375,-35.31925352700685
801061063,Forrest,1766.0,1.0536992840095465,1110.6,45.8,117.0,196.0,1.04,0.3,1.7,6.3,3.1,0.7,2.7,2.4,2.0,2.7,1.4,23.1,66.8,100.0,3080000.0,90598.0,14.1,53.5,19.7,55.2,27.8,42.6,2.2,4.9,13.0,6.3,0.3,1.3,35.2,27.7,35.0,375.0,3.4,41.1,0.032051282051282,149.12476387683523,-35.31718322124149
