code,area,population,population growth,population density,median age,children under 15,people over 64,fertility rate,Indigenous,born in Oceania,born in north-west Europe,born in southern & eastern Europe,born in north Africa & Middle East,born in south-east Asia,born in north-east Asia,born in southern & central Asia,born in Americas,born in sub-Saharan Africa,born overseas,religious,speaks English at home,median house price,median income,low income (bottom quartile),high income (top quartile),postgraduates,uni grads),jobs: managers,jobs: professionals,jobs: technicians & trades,jobs: community work,jobs: clerical,jobs: sales,jobs: machinery & drivers,jobs: labourers,home owners (outright),home owners (mortage),renters,detached houses,disadvantaged (bottom quartiler),advantaged (top quartiler),articial surfaces,lng,lat
801071077,Gilmore,2719.0,0.9717655468191564,1329.3,37.9,308.0,173.0,1.94,2.3,1.7,4.4,1.9,1.6,3.7,0.5,1.2,0.9,1.1,17.1,79.6,100.0,595000.0,66258.0,15.1,30.8,2.8,18.1,12.8,20.8,14.4,9.2,22.0,2.8,6.8,11.6,26.8,44.7,26.4,913.0,16.5,30.2,0.0159574468085106,149.13819050976025,-35.41521056480779
801071078,Gordon,7562.0,0.9833550065019506,1702.5,37.3,738.0,387.0,1.97,2.6,1.5,5.4,2.2,0.9,3.0,0.9,3.4,1.1,1.1,19.6,79.3,96.4,650000.0,66172.0,15.9,33.0,4.3,20.3,13.9,25.4,10.7,11.2,18.7,5.1,4.2,6.9,24.4,49.7,22.6,2662.0,14.2,31.7,0.0112612612612612,149.08498570101335,-35.45674620425447
801071079,Gowrie,3115.0,1.0100518806744487,1612.6,38.8,338.0,242.0,2.12,2.4,1.4,6.0,2.6,1.0,2.7,1.3,2.6,0.9,0.6,19.2,74.9,100.0,640000.0,65283.0,16.5,33.7,6.2,28.2,17.4,27.9,7.5,11.8,16.4,6.9,2.3,4.9,33.7,47.9,16.9,1045.0,10.9,38.6,0.0145631067961165,149.10904052212223,-35.411856254913694
801071080,Greenway,2892.0,1.5506702412868634,544.9,36.9,190.0,215.0,1.77,1.3,1.5,6.5,2.0,1.7,5.7,2.5,15.3,1.1,0.7,37.2,79.7,92.6,545000.0,65718.0,15.0,31.1,10.1,38.3,8.3,49.8,9.0,9.0,10.7,4.6,2.4,3.9,26.0,22.3,50.0,489.0,13.5,22.0,0.0077071290944123,149.0649388848725,-35.41583383425993
801071081,Isabella Plains,4380.0,0.9929721151666288,1755.5,37.3,469.0,286.0,1.94,2.5,1.6,5.0,2.2,0.7,4.3,1.2,3.8,1.1,0.7,20.3,81.4,95.5,620000.0,62676.0,17.5,28.3,3.5,20.0,10.3,22.8,12.8,13.2,18.7,7.0,6.6,7.2,23.9,45.7,22.5,1447.0,15.3,28.3,0.015625,149.09396058600078,-35.428002334275384
801071082,Kambah,14842.0,0.9807705015528976,1309.3,42.0,1544.0,1401.0,2.02,2.4,1.7,6.4,2.5,0.8,2.4,1.2,1.9,1.1,0.8,18.9,71.3,97.2,635000.0,62266.0,18.3,32.0,6.1,28.3,12.7,31.4,9.2,12.4,16.1,6.3,2.9,7.1,35.5,39.9,22.3,5308.0,15.6,31.7,0.0043706293706293,149.05805045878415,-35.38622610723009
801071083,Macarthur,1385.0,0.9473324213406292,1064.2,40.7,130.0,117.0,1.61,1.4,0.6,7.3,1.5,0.4,1.8,0.9,1.3,1.0,1.4,15.8,78.8,100.0,670000.0,67698.0,15.9,37.1,6.1,32.2,18.6,29.5,7.0,4.7,20.2,4.7,2.3,5.4,40.2,48.3,9.4,470.0,4.0,49.3,,149.13173987480909,-35.40522479268288
801071084,Monash,5242.0,0.9581429354779748,1536.4,43.1,531.0,468.0,2.08,2.1,1.6,6.7,3.0,0.9,3.7,1.1,4.2,0.9,1.2,23.3,80.8,94.7,655000.0,63278.0,18.4,31.7,5.2,24.700000000000003,14.5,34.1,8.8,11.1,16.8,5.4,2.6,4.8,36.6,37.2,18.7,1991.0,11.8,31.5,0.0095846645367412,149.09063275076517,-35.41575405650269
801071085,Mount Taylor,3.0,1.0,0.3,47.5,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,149.09259135158695,-35.381225617936735
801071086,Oxley,1636.0,0.9434832756632064,1505.8,42.2,178.0,114.0,1.91,2.8,2.2,5.3,2.4,1.2,3.8,1.1,2.8,1.1,1.0,20.1,75.0,100.0,655000.0,61990.0,16.6,31.1,5.8,26.9,14.9,29.4,11.9,10.8,16.5,5.7,4.1,8.8,33.1,39.7,26.0,592.0,14.8,35.5,,149.07861003296793,-35.40950462278252
801071087,Richardson,3006.0,0.9766081871345028,1343.7,34.6,352.0,181.0,2.2,3.8,2.4,5.5,3.0,1.5,2.8,1.3,1.2,0.8,0.8,19.4,77.0,98.3,616000.0,60262.0,16.6,26.8,3.0,15.1,10.8,20.7,11.7,13.0,16.4,7.1,5.6,12.3,23.8,48.4,26.1,1067.0,21.0,24.1,0.0136986301369863,149.11377750255465,-35.427861851642945
801071088,Theodore,3733.0,0.9645994832041344,1190.6,35.8,380.0,165.0,1.77,3.4,2.0,4.7,1.9,0.6,2.5,0.8,2.1,1.2,0.6,16.1,75.2,97.7,612000.0,65538.0,14.4,32.1,4.0,19.3,15.3,23.9,8.4,14.4,15.8,5.5,5.0,7.2,23.5,55.6,19.5,1293.0,12.6,34.3,0.0095846645367412,149.1197135084164,-35.449611660339094
801071089,Tuggeranong,22.0,0.9166666666666666,0.3,48.0,2.0,6.0,,10.3,,19.0,,,,,,,,19.0,66.7,100.0,,67450.0,,,,,14.3,38.1,14.3,19.0,14.3,,19.0,,,50.0,50.0,5.0,,,,149.1124814803256,-35.506276300655436
801071090,Wanniassa,7358.0,0.96435124508519,1363.2,40.4,756.0,652.0,2.19,2.7,1.9,6.6,2.8,0.9,3.0,1.6,2.8,1.2,0.8,21.4,74.0,94.6,625000.0,63035.0,19.2,32.9,6.8,29.2,13.5,28.9,8.0,14.7,15.1,6.7,3.5,6.3,35.6,40.4,21.5,2730.0,15.3,32.5,0.0054545454545454,149.09086499058486,-35.39781285754517
801071132,Tuggeranong - West,15.0,1.0,1.6,30.5,2.0,1.0,,,,,,,,,,,,,75.0,,,16762.0,,,,,,,,,,,,,,,,0.0,,,,149.03462243167223,-35.396706699549355
801081091,Chapman,2775.0,1.007991282237559,1495.3,47.4,231.0,300.0,1.63,0.8,1.1,7.9,3.7,0.6,2.1,1.3,1.4,1.5,1.8,21.3,69.5,81.8,950000.0,74951.0,16.6,43.9,12.7,46.1,16.1,40.2,6.3,8.0,18.5,3.5,1.0,3.8,48.2,39.0,11.6,897.0,6.8,48.7,,149.0374289791377,-35.35619501865335
801081092,Duffy,3162.0,0.9804651162790696,1130.7,40.5,320.0,245.0,1.99,1.2,1.3,7.0,2.5,0.5,1.5,1.0,1.0,1.3,1.1,17.2,63.6,100.0,780000.0,68549.0,18.1,39.1,10.8,38.5,17.2,35.0,8.9,8.9,17.8,3.6,1.0,3.0,36.7,39.7,21.0,1087.0,12.3,38.7,0.01171875,149.03190092483246,-35.33456216480681
801081093,Fisher,2925.0,0.9561948349133704,1848.7,40.9,353.0,249.0,2.26,1.2,1.6,6.7,2.2,0.3,2.6,1.8,1.3,0.9,1.2,18.6,67.3,100.0,697500.0,66136.0,17.4,35.5,8.7,34.7,12.1,42.2,7.8,11.0,12.8,4.6,1.1,4.3,40.3,37.3,20.0,1071.0,14.9,34.1,0.0266666666666666,149.05704702969888,-35.36125003684948
801081094,Holder,2647.0,0.9880552444942142,1414.1,40.9,310.0,217.0,2.37,1.7,2.7,6.7,2.5,1.6,2.6,1.5,2.0,1.2,0.7,21.5,70.5,102.3,675000.0,67752.0,15.8,37.3,10.5,40.4,16.2,38.3,6.9,7.3,14.5,6.3,2.3,8.3,39.1,38.3,20.7,935.0,11.6,36.2,0.0194174757281553,149.04611709474446,-35.33446477191302
801081095,Rivett,3290.0,1.0349166404529726,2042.7,39.4,407.0,264.0,2.21,2.2,1.3,7.8,2.2,0.6,2.4,1.7,1.7,1.3,1.4,20.2,67.2,95.5,627500.0,64951.0,17.4,36.4,7.6,32.9,11.0,33.0,6.5,10.7,13.9,9.7,1.6,10.7,31.6,39.4,27.1,1193.0,20.0,32.0,0.0184049079754601,149.0379098746588,-35.347079611934866
801081096,Stirling,2147.0,0.9953639313861844,1623.3,44.6,185.0,249.0,1.76,1.5,1.7,8.3,5.3,1.0,2.1,2.5,2.0,1.1,0.8,24.6,77.9,106.7,806000.0,64361.0,20.6,33.2,9.1,32.8,12.9,31.6,12.4,10.0,16.3,5.7,3.8,5.7,41.7,29.8,23.2,723.0,13.8,31.2,0.0217391304347826,149.0493021629546,-35.34967803573348
801081097,Waramanga,2711.0,1.010812826249068,1585.6,40.6,321.0,260.0,1.94,1.5,1.3,6.3,3.5,1.1,2.2,1.5,2.3,1.4,1.3,21.3,74.3,86.0,700000.0,68077.0,17.1,36.4,9.2,35.7,14.8,35.9,11.5,8.9,15.9,3.0,1.1,8.9,30.0,36.9,29.7,993.0,18.5,34.6,0.0429447852760736,149.0621496914435,-35.35295878854587
801081098,Weston,3693.0,1.024694783573807,960.2,42.5,396.0,333.0,2.45,1.3,1.9,6.8,2.6,1.2,2.9,1.5,2.7,1.2,1.1,22.0,70.7,81.4,748800.0,68966.0,17.9,39.0,11.0,38.7,17.7,38.7,10.5,7.4,10.8,4.4,1.8,6.7,35.9,37.0,24.9,1265.0,11.3,39.2,0.0106666666666666,149.05881761344605,-35.33254927401514
801081133,Scrivener,3.0,0.4285714285714285,1.9,68.5,0.0,3.0,,,,,,,,,,,,,,,,61423.0,,,,,,,,,,,,,,,100.0,3.0,,,,149.0716726088859,-35.312138124984806
801091099,Chifley,2506.0,0.987391646966115,1577.2,38.6,224.0,209.0,1.75,1.7,1.5,6.2,2.8,0.3,3.9,2.6,7.2,1.5,1.2,27.3,75.6,80.5,825000.0,64530.0,19.1,34.2,10.8,41.2,11.2,30.5,9.9,17.8,13.1,3.4,4.2,8.9,30.6,29.7,35.7,917.0,14.8,31.6,0.0256410256410256,149.07684071560283,-35.35338501367666
801091100,Curtin,5331.0,1.000187617260788,1108.8,41.6,571.0,431.0,1.82,1.0,1.2,7.6,2.5,0.7,2.8,1.8,3.5,2.0,0.8,22.9,68.3,95.7,925000.0,72271.0,17.1,42.4,15.3,49.0,16.9,41.8,5.7,9.9,11.9,4.4,1.6,5.9,41.2,30.6,25.5,1685.0,11.0,40.9,0.0126315789473684,149.07763895243406,-35.32462388515902
801091101,Farrer,3360.0,1.008100810081008,1624.2,41.1,373.0,272.0,1.96,1.0,1.8,7.3,2.8,0.9,3.2,1.7,4.0,1.4,1.2,24.0,75.2,100.0,835000.0,68004.0,19.0,39.1,11.8,41.0,15.6,40.4,4.7,10.6,14.9,5.9,3.3,1.9,40.7,35.3,19.6,1084.0,9.9,40.0,0.0165745856353591,149.1050014505672,-35.37671490084181
801091102,Garran,3663.0,1.0465714285714285,1358.4,43.0,457.0,338.0,1.59,0.8,2.3,8.3,2.9,1.3,4.2,4.0,7.6,1.4,1.0,33.0,76.4,89.7,1057500.0,77759.0,16.7,45.4,15.3,47.5,16.1,54.5,3.0,7.6,8.7,3.1,1.2,2.1,34.7,29.3,32.1,960.0,9.7,43.0,0.0185873605947955,149.10846471133667,-35.341376705430335
801091103,Hughes,3004.0,0.9855643044619422,1678.8,40.5,331.0,228.0,1.65,1.2,2.5,8.4,2.0,0.7,2.5,2.0,2.9,2.4,1.3,24.6,64.5,82.4,950000.0,73574.0,19.0,44.1,16.3,48.6,14.2,46.2,3.3,12.5,12.8,1.9,0.8,5.8,37.5,32.4,25.2,898.0,12.0,39.8,0.0355029585798816,149.09491536727091,-35.33267372082523
801091104,Isaacs,2341.0,0.9762301918265222,758.1,49.0,197.0,286.0,1.94,0.6,1.6,7.3,4.8,2.9,4.7,3.8,8.0,1.6,2.1,36.6,78.5,100.0,1045000.0,70614.0,17.9,39.5,13.3,42.5,16.5,39.4,4.1,9.5,16.0,5.0,2.4,3.7,49.7,27.8,20.0,876.0,10.4,37.3,,149.11555984251135,-35.36861140615183
801091105,Lyons,3141.0,1.022793878215565,1388.7,39.6,245.0,274.0,1.43,1.6,2.4,6.4,2.7,1.1,4.6,3.9,7.8,1.3,2.2,32.1,72.7,91.5,890000.0,59655.0,19.8,31.2,11.3,37.0,8.6,26.6,13.0,16.3,13.6,3.8,2.1,14.9,28.9,20.4,46.0,828.0,20.2,22.1,0.0173160173160173,149.07396794057087,-35.3405920026388
801091106,Mawson,3384.0,1.0370824394728777,1601.7,39.9,330.0,299.0,1.53,1.7,1.7,6.3,3.1,1.5,4.5,3.6,9.9,1.6,2.2,34.3,76.2,98.1,792500.0,62131.0,17.8,33.6,11.1,41.4,11.7,32.1,12.5,13.3,11.1,7.1,3.0,7.6,31.0,27.4,39.4,1038.0,16.5,30.6,0.0273972602739726,149.0986313540562,-35.36338812883861
801091107,O'Malley,1074.0,1.064420218037661,412.0,47.7,74.0,131.0,,,2.2,5.1,8.1,3.5,4.8,5.0,6.1,4.2,2.5,41.6,80.1,,1637500.0,72904.0,18.2,43.1,15.0,46.7,27.8,41.3,3.5,2.2,12.6,3.9,4.4,2.2,52.8,33.2,11.1,305.0,2.3,50.6,,149.1128067193992,-35.35252116016076
801091108,Pearce,2702.0,1.0336648814078042,1586.4,44.6,237.0,262.0,2.0,1.6,2.0,6.6,3.5,0.6,2.4,1.4,4.2,1.2,1.3,23.9,74.1,100.0,955000.0,71870.0,16.6,41.6,11.2,41.3,14.2,39.0,5.8,11.9,12.6,5.2,3.2,4.5,37.4,32.7,27.9,944.0,14.5,36.0,0.0177514792899408,149.08338512826114,-35.36220879931701
801091109,Phillip,4274.0,1.5451916124367318,1659.9,33.9,338.0,166.0,1.44,1.3,1.6,4.7,2.3,1.9,8.0,6.1,18.9,1.4,2.4,47.2,80.5,91.7,,73101.0,13.3,37.8,12.4,51.6,6.4,47.6,6.4,12.2,9.0,4.3,1.8,11.0,15.1,23.0,59.2,728.0,11.2,25.1,0.0152091254752851,149.09090470926134,-35.34702120247187
801091110,Torrens,2162.0,0.9643175735950044,1661.4,42.4,221.0,189.0,2.29,1.2,1.6,6.2,3.2,1.0,2.8,2.7,4.4,1.2,0.7,24.0,72.8,88.5,740000.0,68967.0,17.8,40.0,10.0,39.8,18.7,35.6,7.6,12.1,12.1,6.9,2.1,4.5,36.8,35.8,25.2,776.0,13.3,39.8,0.0289855072463768,149.08773937788098,-35.372014169943235
801101134,Arboretum,8.0,1.1428571428571428,1.3,52.5,0.0,3.0,,,,,,,,,,,,,,,,67509.0,,,,,,,,,,,,,,,,0.0,,,,149.06756429778957,-35.29585441389434
801101135,Coombs,3806.0,3.61787072243346,1642.0,31.5,514.0,64.0,2.35,1.4,1.0,4.4,1.7,2.5,6.2,4.1,12.8,1.1,1.4,35.2,79.5,86.4,820000.0,74179.0,14.0,40.2,14.4,47.6,12.4,45.2,7.4,10.2,12.1,5.5,1.7,4.3,10.6,73.8,13.0,568.0,3.3,55.8,0.0210084033613445,149.04244291617826,-35.31674838121605
801101136,Denman Prospect,963.0,,203.0,30.0,129.0,12.0,,,,,,,,,,,,,,,965000.0,90337.0,13.0,54.7,,,,,,,,,,,,,,0.0,,,,149.02482065986257,-35.296408215894644
801101137,Molonglo,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,149.04020495699294,-35.29981564013978
801101139,Wright,3786.0,1.8504398826979471,2977.4,32.6,372.0,65.0,1.05,0.5,1.8,4.1,1.3,2.3,4.4,4.3,8.9,1.4,0.8,29.3,75.2,100.0,872500.0,79150.0,11.0,44.0,13.0,49.6,13.5,45.2,7.6,7.1,14.4,6.1,1.2,2.9,6.9,69.8,21.1,548.0,2.0,50.2,0.048,149.03360131559973,-35.31926720098609
801111140,ACT - South West,590.0,1.0611510791366907,1.4,34.1,87.0,28.0,,0.7,1.2,4.4,0.5,,0.9,0.6,0.5,2.1,1.6,11.7,60.6,100.0,,64227.0,12.6,35.0,8.5,25.1,19.1,27.7,6.4,10.6,19.1,5.4,2.5,8.5,17.0,61.4,19.0,147.0,10.2,41.7,,148.960693334558,-35.39099846080788
801111141,Namadgi,39.0,1.0,,37.5,5.0,7.0,,,,9.1,,,,,,,,9.1,90.5,,,40479.0,,,9.1,,20.0,35.0,30.0,,25.0,15.0,15.0,20.0,,20.0,70.0,15.0,18.2,13.6,,148.9359513019201,-35.63126356873313
